"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2","0.000197","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"3","0.000259","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"4","0.003553","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"5","0.003758","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"6","0.004227","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"7","0.004227","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"8","0.007286","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"9","0.007515","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"10","0.007918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"11","0.007918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"12","0.007918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"13","0.010250","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"14","0.010250","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"15","0.010250","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"16","0.010250","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"17","0.011737","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"18","0.021876","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"19","0.024382","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"20","0.024382","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"21","0.024382","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"22","0.026551","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"23","0.031687","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"24","0.031687","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"25","0.031687","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"26","0.031893","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"27","0.034569","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"28","0.034903","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"29","0.037971","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"30","0.038288","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"31","0.045875","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"32","0.046360","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"33","0.052406","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"34","0.052406","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"35","0.052406","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"36","0.053894","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"37","0.061113","192.168.43.26","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"38","0.081436","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"39","0.081664","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"40","0.082059","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"41","0.093900","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"42","0.110184","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"43","0.110743","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"44","0.116906","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"45","0.117134","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"46","0.117285","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"47","0.155610","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"48","0.155914","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"49","0.160555","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"50","0.165871","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"51","0.285904","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"52","0.308916","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"53","0.312227","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
